,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,class,predicted
1011,> 45,services,married,secondary,no,> 1158,no,no,cellular,(11 - 20],nov,> 2,-1,0,unknown,1,0
1012,> 45,technician,married,tertiary,no,<= 235,no,no,cellular,(11 - 20],nov,<= 2,167,1,failure,1,0
1013,(34 - 45],unemployed,single,tertiary,no,<= 235,yes,no,cellular,(11 - 20],nov,> 2,-1,0,unknown,1,0
1014,<= 34,services,married,secondary,no,> 1158,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1015,(34 - 45],self-employed,married,secondary,no,<= 235,no,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1016,(34 - 45],blue-collar,married,secondary,no,(235 - 1158],yes,yes,cellular,(11 - 20],nov,<= 2,122,2,other,1,0
1017,> 45,blue-collar,married,primary,no,(235 - 1158],yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1018,(34 - 45],technician,married,tertiary,no,> 1158,yes,no,cellular,(11 - 20],nov,> 2,-1,0,unknown,1,0
1019,> 45,management,divorced,secondary,no,(235 - 1158],yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1020,<= 34,blue-collar,single,secondary,no,> 1158,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,1
1021,<= 34,admin.,married,secondary,no,> 1158,no,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1022,(34 - 45],management,single,tertiary,no,> 1158,no,yes,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1023,<= 34,management,married,tertiary,no,> 1158,no,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1024,(34 - 45],entrepreneur,married,tertiary,no,(235 - 1158],yes,no,cellular,(11 - 20],nov,<= 2,183,2,failure,1,0
1025,(34 - 45],technician,divorced,secondary,no,> 1158,yes,yes,cellular,(11 - 20],nov,<= 2,195,1,other,1,0
1026,<= 34,services,married,secondary,no,(235 - 1158],yes,no,cellular,(11 - 20],nov,<= 2,133,1,failure,1,0
1027,> 45,technician,divorced,secondary,no,> 1158,no,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,1
1028,> 45,retired,married,secondary,no,> 1158,no,no,telephone,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1029,> 45,admin.,divorced,secondary,no,> 1158,no,no,cellular,(11 - 20],nov,> 2,-1,0,unknown,1,0
1030,<= 34,blue-collar,single,primary,no,<= 235,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1031,> 45,entrepreneur,single,tertiary,no,> 1158,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1032,(34 - 45],blue-collar,married,primary,no,> 1158,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,1
1033,> 45,blue-collar,married,secondary,no,> 1158,no,yes,telephone,(11 - 20],nov,> 2,-1,0,unknown,1,0
1034,<= 34,blue-collar,married,tertiary,no,<= 235,no,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1035,<= 34,unemployed,married,secondary,no,(235 - 1158],yes,no,cellular,(11 - 20],nov,> 2,178,7,failure,1,0
1036,(34 - 45],technician,single,secondary,no,> 1158,no,no,cellular,(11 - 20],nov,> 2,-1,0,unknown,1,1
1037,(34 - 45],blue-collar,married,secondary,no,> 1158,yes,no,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1038,<= 34,services,married,secondary,no,> 1158,no,yes,cellular,(11 - 20],nov,<= 2,-1,0,unknown,1,0
1039,> 45,blue-collar,married,primary,no,> 1158,yes,no,cellular,> 20,nov,> 2,34,1,failure,1,0
1040,(34 - 45],management,married,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1041,<= 34,admin.,single,tertiary,no,> 1158,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1042,> 45,blue-collar,divorced,primary,no,<= 235,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1043,> 45,technician,married,secondary,no,<= 235,no,no,cellular,> 20,nov,<= 2,10,1,failure,1,1
1044,(34 - 45],admin.,single,secondary,no,> 1158,yes,yes,telephone,> 20,nov,> 2,-1,0,unknown,1,0
1045,<= 34,self-employed,single,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1046,(34 - 45],management,single,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1047,> 45,management,married,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,163,2,failure,1,1
1048,(34 - 45],management,divorced,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1049,> 45,housemaid,married,primary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1050,> 45,admin.,married,secondary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1051,<= 34,admin.,single,secondary,no,> 1158,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1052,<= 34,services,single,secondary,no,(235 - 1158],yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1053,<= 34,management,married,secondary,no,> 1158,yes,no,cellular,> 20,nov,<= 2,184,2,failure,1,0
1054,<= 34,technician,married,secondary,no,(235 - 1158],yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1055,<= 34,blue-collar,single,secondary,no,> 1158,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1056,> 45,blue-collar,married,secondary,no,> 1158,yes,no,cellular,> 20,nov,> 2,154,1,failure,1,0
1057,<= 34,blue-collar,married,primary,no,> 1158,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1058,> 45,management,married,tertiary,no,(235 - 1158],no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1059,(34 - 45],services,single,secondary,no,<= 235,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1060,(34 - 45],admin.,married,primary,no,<= 235,yes,yes,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1061,(34 - 45],admin.,divorced,secondary,no,> 1158,yes,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1062,<= 34,management,married,tertiary,no,> 1158,yes,no,cellular,> 20,nov,> 2,99,9,other,1,0
1063,> 45,management,married,tertiary,no,<= 235,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1064,(34 - 45],unemployed,married,secondary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1065,> 45,technician,married,secondary,no,(235 - 1158],no,yes,cellular,> 20,nov,<= 2,133,2,other,1,1
1066,(34 - 45],management,married,tertiary,no,> 1158,yes,yes,telephone,> 20,nov,<= 2,-1,0,unknown,1,0
1067,(34 - 45],technician,married,tertiary,no,<= 235,no,yes,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1068,(34 - 45],entrepreneur,married,primary,no,<= 235,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1069,<= 34,technician,single,tertiary,no,<= 235,yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1070,<= 34,student,single,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1071,<= 34,student,single,tertiary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1072,(34 - 45],management,married,tertiary,no,<= 235,no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,1
1073,> 45,management,married,tertiary,no,> 1158,no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1074,> 45,unemployed,single,primary,no,> 1158,no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1075,<= 34,unknown,married,secondary,no,<= 235,no,no,cellular,> 20,nov,<= 2,93,2,failure,1,1
1076,(34 - 45],management,married,tertiary,no,> 1158,no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,1
1077,(34 - 45],management,married,tertiary,no,> 1158,no,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1078,<= 34,services,married,secondary,no,<= 235,yes,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1079,(34 - 45],admin.,divorced,secondary,no,> 1158,no,yes,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1080,(34 - 45],technician,married,secondary,no,> 1158,yes,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1081,<= 34,management,single,tertiary,no,> 1158,yes,no,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1082,> 45,blue-collar,married,secondary,no,(235 - 1158],no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1083,> 45,management,married,secondary,no,<= 235,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1084,> 45,services,divorced,secondary,no,> 1158,no,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,1
1085,(34 - 45],admin.,single,secondary,no,(235 - 1158],yes,no,cellular,> 20,nov,<= 2,-1,0,unknown,1,0
1086,(34 - 45],management,married,tertiary,no,> 1158,yes,yes,cellular,> 20,nov,> 2,-1,0,unknown,1,0
1087,<= 34,unemployed,single,primary,no,(235 - 1158],no,no,telephone,> 20,nov,<= 2,-1,0,unknown,1,1
1088,> 45,management,divorced,secondary,no,(235 - 1158],no,yes,telephone,> 20,dec,<= 2,-1,0,unknown,1,0
1089,<= 34,unemployed,single,tertiary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1090,> 45,technician,married,secondary,no,(235 - 1158],yes,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1091,<= 34,unknown,single,secondary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,1
1092,<= 34,unknown,single,secondary,no,> 1158,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,1
1093,> 45,technician,divorced,tertiary,no,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1094,<= 34,unemployed,single,secondary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,1
1095,<= 34,services,single,secondary,no,> 1158,no,yes,telephone,> 20,jan,> 2,-1,0,unknown,1,0
1096,> 45,admin.,single,tertiary,no,(235 - 1158],no,no,telephone,> 20,jan,<= 2,-1,0,unknown,1,0
1097,> 45,blue-collar,married,secondary,no,(235 - 1158],yes,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1098,> 45,blue-collar,married,primary,yes,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1099,<= 34,unemployed,single,primary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,1
1100,<= 34,technician,single,secondary,no,(235 - 1158],no,yes,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1101,<= 34,blue-collar,single,primary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1102,(34 - 45],management,single,tertiary,no,> 1158,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1103,<= 34,services,single,tertiary,no,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1104,> 45,unemployed,married,primary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1105,> 45,technician,married,tertiary,no,<= 235,yes,yes,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1106,(34 - 45],management,single,secondary,no,> 1158,yes,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1107,(34 - 45],technician,single,secondary,no,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1108,<= 34,services,single,unknown,no,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1109,(34 - 45],admin.,divorced,secondary,no,(235 - 1158],no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1110,<= 34,entrepreneur,single,tertiary,no,(235 - 1158],yes,yes,cellular,> 20,jan,> 2,-1,0,unknown,1,0
1111,<= 34,admin.,divorced,secondary,no,<= 235,yes,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1112,<= 34,unemployed,single,primary,no,<= 235,no,no,cellular,> 20,jan,<= 2,2,1,other,1,0
1113,<= 34,services,single,secondary,no,<= 235,no,no,cellular,> 20,jan,<= 2,-1,0,unknown,1,0
1114,(34 - 45],technician,single,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,242,2,failure,1,0
1115,(34 - 45],unemployed,married,secondary,no,> 1158,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,0
1116,> 45,technician,married,secondary,yes,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1117,<= 34,technician,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1118,> 45,management,single,tertiary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1119,> 45,unemployed,divorced,unknown,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1120,(34 - 45],unemployed,married,secondary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,272,1,failure,1,0
1121,> 45,unemployed,married,secondary,no,<= 235,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,1
1122,(34 - 45],student,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1123,> 45,retired,single,secondary,no,<= 235,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,1
1124,(34 - 45],management,divorced,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1125,(34 - 45],admin.,married,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1126,<= 34,admin.,single,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1127,(34 - 45],management,married,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1128,(34 - 45],services,divorced,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1129,> 45,management,divorced,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1130,> 45,management,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1131,(34 - 45],management,married,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1132,<= 34,self-employed,single,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1133,(34 - 45],admin.,single,secondary,no,<= 235,yes,yes,cellular,<= 11,feb,<= 2,76,4,failure,1,1
1134,(34 - 45],services,married,secondary,no,<= 235,no,no,telephone,<= 11,feb,> 2,-1,0,unknown,1,0
1135,> 45,blue-collar,single,primary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1136,<= 34,student,single,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1137,> 45,technician,married,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1138,(34 - 45],management,married,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,174,4,other,1,1
1139,<= 34,technician,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1140,> 45,admin.,married,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1141,<= 34,admin.,single,secondary,no,(235 - 1158],no,yes,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1142,> 45,retired,divorced,primary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1143,<= 34,management,married,tertiary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1144,(34 - 45],technician,divorced,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1145,> 45,technician,divorced,secondary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,195,4,failure,1,1
1146,<= 34,management,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,160,5,other,1,1
1147,(34 - 45],blue-collar,married,primary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1148,> 45,technician,single,secondary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1149,> 45,retired,divorced,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1150,(34 - 45],unemployed,single,secondary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1151,<= 34,management,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,90,1,success,1,1
1152,<= 34,entrepreneur,single,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1153,(34 - 45],management,married,tertiary,no,> 1158,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,0
1154,<= 34,self-employed,married,tertiary,no,<= 235,yes,no,cellular,<= 11,feb,> 2,196,4,failure,1,0
1155,> 45,management,married,tertiary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1156,<= 34,technician,single,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1157,<= 34,management,married,tertiary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1158,<= 34,unemployed,single,primary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1159,> 45,admin.,married,secondary,no,> 1158,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,1
1160,<= 34,self-employed,married,tertiary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1161,<= 34,management,married,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1162,> 45,retired,divorced,primary,no,> 1158,yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1163,<= 34,admin.,single,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,246,4,failure,1,0
1164,<= 34,management,married,tertiary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,238,7,other,1,0
1165,(34 - 45],self-employed,single,tertiary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,203,1,failure,1,0
1166,<= 34,admin.,single,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1167,<= 34,unemployed,single,secondary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1168,> 45,retired,married,primary,no,(235 - 1158],no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1169,<= 34,self-employed,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1170,> 45,blue-collar,divorced,secondary,no,> 1158,no,yes,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1171,<= 34,management,single,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1172,(34 - 45],blue-collar,married,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1173,<= 34,services,single,primary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1174,> 45,unemployed,single,primary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1175,(34 - 45],admin.,married,secondary,no,<= 235,yes,yes,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1176,<= 34,blue-collar,married,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1177,(34 - 45],technician,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1178,<= 34,admin.,single,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1179,<= 34,technician,married,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1180,> 45,management,married,tertiary,no,(235 - 1158],no,no,telephone,<= 11,feb,> 2,-1,0,unknown,1,1
1181,(34 - 45],management,married,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1182,(34 - 45],management,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1183,<= 34,technician,single,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,167,2,failure,1,1
1184,<= 34,entrepreneur,single,secondary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,268,1,failure,1,0
1185,<= 34,entrepreneur,single,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,189,29,other,1,1
1186,<= 34,unemployed,married,primary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1187,(34 - 45],technician,single,secondary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1188,> 45,services,married,unknown,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,267,1,other,1,0
1189,> 45,management,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1190,> 45,technician,married,secondary,no,<= 235,no,no,telephone,<= 11,feb,> 2,-1,0,unknown,1,0
1191,> 45,entrepreneur,single,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1192,(34 - 45],unemployed,married,primary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1193,<= 34,technician,single,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1194,<= 34,entrepreneur,married,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1195,<= 34,management,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1196,<= 34,management,single,tertiary,no,<= 235,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1197,<= 34,services,single,secondary,no,<= 235,no,yes,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1198,<= 34,management,single,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,92,1,success,1,1
1199,> 45,technician,married,secondary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1200,(34 - 45],technician,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1201,<= 34,management,married,tertiary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1202,> 45,management,married,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1203,<= 34,blue-collar,single,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,0
1204,> 45,management,married,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1205,<= 34,services,single,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1206,> 45,retired,divorced,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1207,<= 34,blue-collar,married,secondary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1208,<= 34,student,single,secondary,no,<= 235,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1209,<= 34,management,married,tertiary,no,<= 235,no,no,cellular,<= 11,feb,> 2,9,1,other,1,0
1210,(34 - 45],services,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1211,<= 34,technician,single,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1212,<= 34,self-employed,single,tertiary,no,> 1158,no,no,telephone,<= 11,feb,<= 2,-1,0,unknown,1,1
1213,<= 34,blue-collar,single,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,88,1,success,1,1
1214,> 45,retired,married,primary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1215,<= 34,admin.,single,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1216,<= 34,admin.,single,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1217,<= 34,technician,single,tertiary,no,> 1158,no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1218,<= 34,technician,single,tertiary,no,(235 - 1158],yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,1
1219,> 45,services,married,secondary,no,(235 - 1158],no,no,telephone,<= 11,feb,> 2,-1,0,unknown,1,0
1220,<= 34,admin.,married,secondary,no,<= 235,yes,no,cellular,<= 11,feb,<= 2,85,1,failure,1,1
1221,> 45,blue-collar,married,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1222,(34 - 45],technician,married,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1223,(34 - 45],management,married,tertiary,no,<= 235,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1224,> 45,retired,married,tertiary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1225,(34 - 45],technician,single,secondary,no,> 1158,yes,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1226,(34 - 45],blue-collar,married,secondary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,93,1,success,1,1
1227,<= 34,management,divorced,tertiary,no,(235 - 1158],no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1228,<= 34,management,married,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1229,> 45,retired,married,primary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1230,<= 34,services,single,secondary,no,> 1158,no,no,cellular,<= 11,feb,<= 2,-1,0,unknown,1,1
1231,(34 - 45],technician,married,secondary,no,(235 - 1158],no,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1232,<= 34,management,married,tertiary,no,> 1158,yes,no,cellular,<= 11,feb,> 2,-1,0,unknown,1,0
1233,<= 34,student,single,secondary,no,(235 - 1158],no,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1234,(34 - 45],admin.,married,secondary,no,> 1158,yes,no,cellular,(11 - 20],feb,> 2,210,3,failure,1,0
1235,> 45,management,single,tertiary,no,> 1158,no,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1236,> 45,retired,married,primary,no,> 1158,no,no,telephone,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1237,> 45,retired,married,tertiary,no,<= 235,no,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1238,> 45,admin.,divorced,secondary,no,> 1158,no,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1239,<= 34,technician,single,tertiary,no,> 1158,no,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,1
1240,(34 - 45],technician,married,tertiary,no,<= 235,yes,no,cellular,(11 - 20],feb,<= 2,-1,0,unknown,1,0
1241,> 45,management,divorced,tertiary,no,> 1158,no,no,cellular,(11 - 20],feb,> 2,-1,0,unknown,1,1
1242,<= 34,management,single,tertiary,no,> 1158,no,no,cellular,(11 - 20],feb,<= 2,85,3,failure,1,1
