,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,sex,civil_status,class,predicted
154,'0<=X<200',(12 - 24],'delayed previously',business,> 3368,'100<=X<500','4<=X<7',4,none,4,car,(28 - 38],none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
155,'<0',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',2,none,4,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,1
156,'<0',<= 12,'critical/other existing credit',repairs,<= 1554,'100<=X<500','>=7',3,guarantor,4,'real estate',> 38,none,own,2,skilled,2,none,no,male,single,1,1
157,'<0',<= 12,'all paid',retraining,<= 1554,'<100','>=7',4,none,1,car,> 38,bank,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,0
158,'0<=X<200',(12 - 24],'existing paid','new car',> 3368,'100<=X<500','4<=X<7',2,none,3,car,(28 - 38],bank,own,2,skilled,1,yes,yes,male,single,1,1
159,'no checking',<= 12,'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','1<=X<4',1,none,2,'real estate',(28 - 38],none,own,2,'unskilled resident',2,none,yes,male,single,1,1
160,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'100<=X<500','>=7',3,none,4,'real estate',(28 - 38],none,own,1,skilled,2,yes,yes,male,single,1,1
161,'no checking',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','<1',4,none,1,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
162,'no checking',(12 - 24],'existing paid','domestic appliance',<= 1554,'500<=X<1000','4<=X<7',4,none,3,'life insurance',(28 - 38],none,own,2,skilled,1,yes,yes,male,single,1,1
163,'0<=X<200',<= 12,'existing paid','new car',> 3368,'<100',unemployed,2,none,4,'no known property',> 38,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,0
164,'no checking',> 24,'existing paid','new car',<= 1554,'500<=X<1000','>=7',4,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
165,'no checking',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'500<=X<1000','1<=X<4',1,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
166,'<0',(12 - 24],'existing paid',furniture/equipment,<= 1554,'<100',unemployed,4,none,2,car,(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
167,'0<=X<200',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'>=1000','<1',4,none,1,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
168,'no checking',(12 - 24],'existing paid',furniture/equipment,> 3368,'<100','4<=X<7',2,none,4,'life insurance',<= 28,none,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
169,'0<=X<200',(12 - 24],'critical/other existing credit',business,(1554 - 3368],'<100','>=7',4,none,4,'real estate',(28 - 38],none,own,2,skilled,1,yes,yes,male,married/wid/sep,0,1
170,'<0',(12 - 24],'no credits/all paid','new car',<= 1554,'<100','>=7',4,none,3,car,(28 - 38],none,rent,2,skilled,2,none,yes,male,single,0,0
171,'no checking',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',4,none,1,'real estate',<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
172,'0<=X<200',(12 - 24],'delayed previously',furniture/equipment,(1554 - 3368],'<100',unemployed,3,none,2,'life insurance',(28 - 38],none,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,1
173,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,guarantor,2,'real estate',(28 - 38],none,own,1,skilled,1,none,no,male,single,1,1
174,'<0',(12 - 24],'delayed previously',education,> 3368,'<100','<1',2,none,1,'life insurance',<= 28,none,own,2,skilled,1,none,yes,male,single,0,1
175,'no checking',> 24,'all paid','used car',> 3368,'no known savings',unemployed,4,none,1,'real estate',> 38,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,1
176,'<0',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,1,car,> 38,none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
177,'<0',<= 12,'critical/other existing credit',radio/tv,<= 1554,'500<=X<1000','>=7',4,none,4,car,> 38,none,own,2,skilled,1,none,yes,male,single,1,1
178,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',4,none,2,car,(28 - 38],none,rent,2,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,1
179,'<0',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,4,'real estate',> 38,none,own,2,skilled,1,none,yes,male,single,1,0
180,'no checking',> 24,'delayed previously',business,> 3368,'<100','<1',1,none,1,car,<= 28,none,own,2,skilled,1,none,yes,male,married/wid/sep,0,1
181,'0<=X<200',> 24,'delayed previously',business,> 3368,'<100','1<=X<4',2,none,2,'real estate',(28 - 38],stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,0,1
182,'<0',(12 - 24],'all paid','new car',(1554 - 3368],'no known savings','1<=X<4',4,none,2,'life insurance',> 38,none,own,2,'unskilled resident',2,none,yes,male,single,0,0
183,'no checking',(12 - 24],'critical/other existing credit',furniture/equipment,> 3368,'>=1000','1<=X<4',4,none,4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
184,'0<=X<200',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,4,car,(28 - 38],bank,own,1,skilled,2,yes,yes,male,single,0,0
185,'no checking',(12 - 24],'critical/other existing credit',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
186,'0<=X<200',<= 12,'all paid','used car',> 3368,'<100','>=7',2,none,4,'no known property',> 38,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,female,married/wid/sep,0,1
187,'0<=X<200',(12 - 24],'critical/other existing credit','new car',<= 1554,'<100',unemployed,2,none,3,car,> 38,none,'for free',3,'unemp/unskilled non res',1,yes,yes,male,single,1,1
188,'<0',<= 12,'existing paid',radio/tv,<= 1554,'100<=X<500','4<=X<7',4,none,1,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,married/wid/sep,0,1
189,'0<=X<200',(12 - 24],'no credits/all paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',1,none,4,car,(28 - 38],bank,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
190,'no checking',(12 - 24],'existing paid',business,> 3368,'>=1000','1<=X<4',2,none,3,'life insurance',> 38,none,own,3,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
191,'0<=X<200',> 24,'no credits/all paid',business,> 3368,'100<=X<500','4<=X<7',4,none,4,'no known property',(28 - 38],none,'for free',1,'unskilled resident',2,none,yes,male,single,0,0
192,'0<=X<200',> 24,'existing paid',business,> 3368,'<100','1<=X<4',4,none,2,car,(28 - 38],none,own,1,skilled,2,yes,yes,male,single,0,1
193,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',2,none,2,'real estate',(28 - 38],none,rent,1,skilled,1,none,yes,male,married/wid/sep,1,1
194,'0<=X<200',> 24,'existing paid',radio/tv,(1554 - 3368],'100<=X<500','1<=X<4',4,guarantor,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,male,single,0,0
195,'0<=X<200',<= 12,'critical/other existing credit',education,<= 1554,'<100','>=7',2,none,3,car,(28 - 38],none,own,2,'high qualif/self emp/mgmt',1,yes,yes,female,married/wid/sep,0,1
196,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','1<=X<4',1,none,1,car,<= 28,none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
197,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'100<=X<500','<1',4,none,4,car,<= 28,bank,rent,4,skilled,1,none,yes,female,married/wid/sep,0,0
198,'0<=X<200',(12 - 24],'existing paid','used car',(1554 - 3368],'no known savings','>=7',4,none,4,'no known property',(28 - 38],bank,'for free',1,skilled,1,yes,yes,male,single,1,1
199,'0<=X<200',(12 - 24],'delayed previously',furniture/equipment,> 3368,'<100','>=7',4,none,3,'no known property',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,0,1
200,'no checking',<= 12,'critical/other existing credit',education,<= 1554,'500<=X<1000','>=7',4,none,2,car,> 38,none,own,2,skilled,1,yes,yes,male,single,1,1
201,'<0',<= 12,'existing paid','new car',<= 1554,'<100','1<=X<4',4,none,3,'real estate',<= 28,none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,0
202,'no checking',> 24,'delayed previously',business,> 3368,'<100','4<=X<7',3,none,4,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
203,'<0',<= 12,'existing paid',retraining,<= 1554,'<100','4<=X<7',4,none,4,'life insurance',<= 28,none,rent,1,skilled,1,none,yes,male,married/wid/sep,0,0
204,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'<100','>=7',4,none,1,'real estate',(28 - 38],none,own,2,'unskilled resident',2,none,yes,male,single,1,1
205,'<0',> 24,'critical/other existing credit','used car',> 3368,'<100','>=7',3,none,4,'no known property',(28 - 38],none,'for free',3,'high qualif/self emp/mgmt',2,yes,yes,male,single,1,0
206,'no checking',<= 12,'critical/other existing credit',furniture/equipment,(1554 - 3368],'<100','>=7',4,none,4,'real estate',> 38,none,own,3,skilled,1,yes,yes,male,single,1,1
207,'0<=X<200',<= 12,'critical/other existing credit','domestic appliance',<= 1554,'<100','4<=X<7',4,none,3,'life insurance',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
208,'<0',(12 - 24],'existing paid',business,> 3368,'<100','1<=X<4',2,none,2,car,<= 28,stores,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
209,'no checking',<= 12,'existing paid','used car',<= 1554,'>=1000','4<=X<7',3,none,2,'life insurance',> 38,none,own,1,skilled,1,none,no,male,single,1,1
210,'no checking',<= 12,'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','1<=X<4',1,none,2,'real estate',(28 - 38],none,own,2,skilled,2,none,yes,male,single,1,1
211,'no checking',> 24,'existing paid',radio/tv,> 3368,'no known savings','>=7',2,none,4,'real estate',> 38,none,own,1,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
212,'<0',> 24,'no credits/all paid',business,> 3368,'<100',unemployed,2,none,4,'life insurance',> 38,stores,own,2,skilled,1,yes,yes,male,single,0,1
213,'>=200',> 24,'delayed previously',business,(1554 - 3368],'<100','>=7',4,none,4,'real estate',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
214,'no checking',> 24,'critical/other existing credit',radio/tv,(1554 - 3368],'no known savings','>=7',4,none,2,car,> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
215,'0<=X<200',<= 12,'critical/other existing credit',retraining,<= 1554,'no known savings','4<=X<7',1,none,3,'life insurance',> 38,none,own,2,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
216,'<0',(12 - 24],'no credits/all paid',business,(1554 - 3368],'<100','4<=X<7',3,none,1,'life insurance',(28 - 38],bank,own,1,skilled,1,yes,yes,male,single,1,0
217,'>=200',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,yes,yes,male,single,1,0
218,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,2,'real estate',<= 28,none,rent,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,0
219,'no checking',<= 12,'existing paid','new car',<= 1554,'<100','1<=X<4',2,none,4,car,> 38,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
220,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','<1',4,guarantor,1,'real estate',<= 28,bank,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
221,'<0',<= 12,'existing paid',education,<= 1554,'no known savings','1<=X<4',4,none,4,'life insurance',<= 28,bank,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
222,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'real estate',(28 - 38],bank,own,2,skilled,1,none,yes,male,single,1,1
223,'no checking',(12 - 24],'delayed previously',business,(1554 - 3368],'no known savings','1<=X<4',4,none,4,'real estate',(28 - 38],none,own,2,skilled,2,yes,yes,male,single,1,1
224,'no checking',(12 - 24],'existing paid','used car',> 3368,'<100','1<=X<4',3,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,single,1,1
225,'no checking',> 24,'no credits/all paid',repairs,(1554 - 3368],'<100','1<=X<4',4,none,2,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
226,'0<=X<200',> 24,'existing paid',radio/tv,> 3368,'>=1000','4<=X<7',1,'co applicant',2,'no known property',<= 28,bank,own,2,skilled,1,yes,yes,male,single,0,0
227,'<0',<= 12,'existing paid',furniture/equipment,> 3368,'<100','>=7',4,none,4,'no known property',> 38,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,0,1
228,'no checking',<= 12,'existing paid',radio/tv,<= 1554,'<100','4<=X<7',4,none,2,car,<= 28,none,own,1,skilled,1,none,yes,male,single,0,1
229,'<0',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','<1',4,none,1,'no known property',<= 28,bank,'for free',1,skilled,1,none,yes,male,single,1,1
230,'>=200',> 24,'existing paid',radio/tv,> 3368,'<100','1<=X<4',4,none,2,car,<= 28,none,own,1,skilled,1,none,yes,male,single,0,1
231,'no checking',<= 12,'existing paid','new car',(1554 - 3368],'500<=X<1000','>=7',2,none,4,'no known property',> 38,none,'for free',1,'unskilled resident',1,none,yes,male,single,1,1
232,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'100<=X<500','4<=X<7',3,none,1,'no known property',(28 - 38],none,own,1,skilled,1,none,yes,male,single,1,1
233,'0<=X<200',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,guarantor,2,'real estate',<= 28,none,own,1,'unskilled resident',1,none,yes,male,married/wid/sep,1,1
234,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','4<=X<7',2,none,1,'real estate',> 38,none,own,3,'unskilled resident',2,none,yes,male,single,1,1
235,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100',unemployed,4,none,2,car,(28 - 38],stores,own,1,'high qualif/self emp/mgmt',2,none,yes,male,single,0,1
236,'0<=X<200',<= 12,'existing paid','new car',> 3368,'no known savings',unemployed,1,none,2,'life insurance',<= 28,none,own,1,'unemp/unskilled non res',1,yes,yes,male,single,0,0
237,'0<=X<200',(12 - 24],'existing paid',business,(1554 - 3368],'100<=X<500','>=7',4,none,2,car,> 38,bank,rent,2,'unskilled resident',1,none,yes,male,married/wid/sep,0,1
238,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','1<=X<4',4,none,2,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
239,'<0',> 24,'existing paid',radio/tv,(1554 - 3368],'<100','>=7',1,guarantor,3,'life insurance',> 38,none,own,1,skilled,2,none,yes,male,single,1,1
240,'<0',(12 - 24],'existing paid','new car',<= 1554,'no known savings','>=7',4,none,2,car,(28 - 38],bank,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
241,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',3,none,2,'life insurance',> 38,none,own,1,skilled,2,none,yes,male,single,1,1
242,'<0',> 24,'no credits/all paid','used car',> 3368,'<100','>=7',3,none,4,'no known property',<= 28,none,'for free',2,skilled,2,none,yes,male,single,0,0
243,'no checking',<= 12,'critical/other existing credit',business,<= 1554,'<100','1<=X<4',3,none,2,'real estate',<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
244,'no checking',<= 12,'all paid',retraining,> 3368,'500<=X<1000','1<=X<4',4,none,3,'real estate',(28 - 38],none,own,1,'unskilled resident',2,none,yes,female,married/wid/sep,1,1
245,'no checking',(12 - 24],'existing paid',business,<= 1554,'<100','4<=X<7',4,none,1,'real estate',<= 28,none,own,1,skilled,1,yes,yes,male,single,1,1
246,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'<100','>=7',4,none,4,'real estate',> 38,none,own,3,skilled,1,none,yes,male,single,1,1
247,'no checking',<= 12,'no credits/all paid','new car',<= 1554,'100<=X<500','1<=X<4',4,none,1,'no known property',(28 - 38],bank,rent,1,skilled,1,none,no,male,single,1,1
248,'>=200',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
249,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'<100',unemployed,3,'co applicant',4,'real estate',<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,0,1
250,'<0',<= 12,'critical/other existing credit','new car',<= 1554,'>=1000','4<=X<7',3,none,4,'real estate',> 38,none,own,2,'unskilled resident',1,yes,yes,female,married/wid/sep,1,1
251,'>=200',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',1,none,2,car,> 38,none,own,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
252,'0<=X<200',> 24,'existing paid','new car',(1554 - 3368],'<100','1<=X<4',4,guarantor,2,'no known property',<= 28,bank,own,1,skilled,1,none,yes,female,married/wid/sep,0,0
253,'no checking',(12 - 24],'delayed previously',furniture/equipment,> 3368,'100<=X<500','1<=X<4',2,none,3,'life insurance',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
254,'0<=X<200',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'no known savings','4<=X<7',2,none,1,car,<= 28,none,own,1,skilled,1,yes,yes,male,single,1,1
255,'0<=X<200',> 24,'delayed previously',radio/tv,> 3368,'no known savings','1<=X<4',1,none,1,'real estate',<= 28,none,own,1,'unskilled resident',1,none,yes,male,single,1,1
256,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'<100','1<=X<4',4,none,2,'real estate',(28 - 38],none,own,2,'unskilled resident',1,none,yes,male,single,1,1
257,'<0',<= 12,'all paid',radio/tv,(1554 - 3368],'<100','1<=X<4',4,none,1,'no known property',(28 - 38],none,'for free',1,skilled,1,none,yes,male,married/wid/sep,0,0
258,'no checking',(12 - 24],'existing paid','used car',> 3368,'100<=X<500','<1',1,none,4,car,<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
259,'no checking',<= 12,'critical/other existing credit',radio/tv,<= 1554,'100<=X<500',unemployed,4,none,4,'real estate',> 38,none,own,3,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
260,'<0',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,none,yes,male,single,1,1
261,'<0',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'<100','>=7',4,none,4,car,> 38,none,own,1,skilled,1,none,yes,female,married/wid/sep,1,1
262,'<0',(12 - 24],'critical/other existing credit','new car',> 3368,'<100','>=7',2,none,4,'no known property',(28 - 38],none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
263,'no checking',<= 12,'critical/other existing credit',education,(1554 - 3368],'<100','>=7',2,none,4,'no known property',> 38,bank,'for free',3,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
264,'no checking',<= 12,'critical/other existing credit','new car',<= 1554,'<100','>=7',3,none,4,'real estate',(28 - 38],none,own,2,'unskilled resident',2,none,no,male,single,1,1
265,'0<=X<200',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','>=7',4,none,3,car,(28 - 38],none,own,1,skilled,2,none,yes,male,single,0,1
266,'no checking',> 24,'critical/other existing credit',business,> 3368,'no known savings','>=7',4,none,4,'real estate',(28 - 38],none,own,2,skilled,1,none,yes,male,single,1,1
267,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'<100','<1',4,none,3,car,(28 - 38],stores,own,1,skilled,1,yes,yes,female,married/wid/sep,1,1
268,'<0',(12 - 24],'existing paid','new car',> 3368,'<100','>=7',1,none,4,'life insurance',> 38,none,own,1,'high qualif/self emp/mgmt',1,yes,no,male,married/wid/sep,0,1
269,'no checking',(12 - 24],'existing paid',radio/tv,<= 1554,'no known savings','>=7',4,none,2,car,<= 28,none,own,2,skilled,1,none,yes,male,single,1,1
270,'no checking',(12 - 24],'existing paid','new car',(1554 - 3368],'no known savings','4<=X<7',4,none,3,'life insurance',(28 - 38],none,own,1,skilled,1,none,no,male,single,1,1
271,'no checking',<= 12,'critical/other existing credit',furniture/equipment,<= 1554,'500<=X<1000','4<=X<7',3,none,4,car,(28 - 38],none,rent,1,skilled,1,yes,yes,female,married/wid/sep,1,1
272,'0<=X<200',> 24,'all paid','new car',> 3368,'no known savings',unemployed,4,'co applicant',4,'no known property',(28 - 38],none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
273,'0<=X<200',> 24,'existing paid',radio/tv,(1554 - 3368],'<100','4<=X<7',4,none,4,'real estate',<= 28,none,own,2,skilled,1,none,yes,male,single,0,0
274,'<0',> 24,'existing paid',repairs,> 3368,'<100','<1',1,none,1,'no known property',(28 - 38],none,own,1,'unskilled resident',1,yes,yes,male,married/wid/sep,0,1
275,'no checking',<= 12,'existing paid',radio/tv,(1554 - 3368],'<100','1<=X<4',1,none,2,'real estate',(28 - 38],none,own,1,skilled,2,none,yes,male,single,1,1
276,'no checking',(12 - 24],'critical/other existing credit',radio/tv,(1554 - 3368],'<100','1<=X<4',2,none,2,car,<= 28,none,own,2,skilled,1,none,yes,female,married/wid/sep,1,1
277,'<0',<= 12,'existing paid',furniture/equipment,<= 1554,'no known savings','>=7',2,none,4,'life insurance',> 38,none,own,1,'unskilled resident',1,yes,yes,male,married/wid/sep,1,1
278,'no checking',<= 12,'existing paid',furniture/equipment,> 3368,'<100','<1',1,none,4,'life insurance',(28 - 38],none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
279,'no checking',(12 - 24],'existing paid',radio/tv,(1554 - 3368],'100<=X<500','1<=X<4',4,none,4,car,(28 - 38],none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
280,'no checking',(12 - 24],'critical/other existing credit','used car',(1554 - 3368],'>=1000','>=7',3,none,4,'no known property',<= 28,none,rent,2,skilled,1,yes,yes,male,single,1,1
281,'no checking',<= 12,'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',4,none,2,'real estate',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
282,'>=200',(12 - 24],'all paid',radio/tv,<= 1554,'no known savings','4<=X<7',4,none,4,car,> 38,bank,own,1,'unskilled resident',1,none,yes,male,single,1,1
283,'no checking',(12 - 24],'critical/other existing credit',furniture/equipment,<= 1554,'no known savings','>=7',4,none,4,'life insurance',> 38,none,own,1,skilled,1,none,yes,male,single,1,1
284,'0<=X<200',(12 - 24],'critical/other existing credit','new car',> 3368,'100<=X<500','<1',4,none,2,car,(28 - 38],none,own,1,skilled,1,yes,yes,male,married/wid/sep,1,0
285,'<0',> 24,'existing paid','new car',> 3368,'<100','<1',1,none,1,'real estate',(28 - 38],none,own,1,'unskilled resident',1,yes,yes,female,married/wid/sep,1,0
286,'<0',> 24,'existing paid','used car',> 3368,'<100','4<=X<7',4,none,3,'life insurance',<= 28,none,own,1,skilled,2,none,yes,male,single,1,0
287,'0<=X<200',> 24,'delayed previously',other,> 3368,'100<=X<500',unemployed,2,none,4,'no known property',(28 - 38],none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,male,single,1,1
288,'0<=X<200',<= 12,'existing paid',radio/tv,<= 1554,'<100','1<=X<4',4,guarantor,4,'real estate',> 38,none,own,2,skilled,1,yes,yes,female,married/wid/sep,1,1
289,'<0',(12 - 24],'delayed previously',radio/tv,<= 1554,'<100','<1',4,none,4,'real estate',> 38,stores,own,1,skilled,1,none,yes,male,married/wid/sep,0,1
290,'no checking',<= 12,'existing paid',business,<= 1554,'<100','1<=X<4',2,none,2,'real estate',<= 28,none,own,1,skilled,1,yes,no,male,married/wid/sep,1,1
291,'0<=X<200',> 24,'existing paid','used car',> 3368,'<100','<1',1,none,4,car,<= 28,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,male,married/wid/sep,0,0
292,'<0',(12 - 24],'critical/other existing credit','used car',> 3368,'<100','>=7',2,none,4,'no known property',> 38,none,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,female,married/wid/sep,1,1
293,'>=200',> 24,'critical/other existing credit','used car',> 3368,'<100','>=7',4,none,4,'no known property',> 38,none,'for free',1,skilled,1,none,yes,male,single,1,1
294,'no checking',> 24,'critical/other existing credit',business,> 3368,'no known savings','>=7',4,none,2,car,> 38,bank,own,2,'high qualif/self emp/mgmt',2,none,yes,male,married/wid/sep,1,1
295,'0<=X<200',> 24,'existing paid',furniture/equipment,> 3368,'<100','<1',1,none,2,car,<= 28,none,own,1,skilled,1,yes,yes,female,married/wid/sep,0,0
296,'no checking',<= 12,'existing paid','used car',> 3368,'no known savings','<1',1,none,4,car,<= 28,none,rent,1,skilled,1,none,yes,female,married/wid/sep,1,1
297,'no checking',<= 12,'existing paid','new car',<= 1554,'no known savings','>=7',4,'co applicant',2,'life insurance',> 38,none,own,1,'unskilled resident',1,none,no,male,single,1,1
298,'no checking',(12 - 24],'existing paid',furniture/equipment,(1554 - 3368],'<100','1<=X<4',3,none,4,'real estate',> 38,none,own,1,skilled,1,yes,yes,male,single,1,1
299,'0<=X<200',(12 - 24],'critical/other existing credit',furniture/equipment,(1554 - 3368],'>=1000','4<=X<7',3,none,2,car,(28 - 38],none,own,2,skilled,1,yes,yes,male,single,1,1
300,'no checking',<= 12,'existing paid','new car',<= 1554,'<100',unemployed,1,none,4,'real estate',> 38,none,own,1,'unemp/unskilled non res',1,yes,yes,female,married/wid/sep,1,1
301,'0<=X<200',> 24,'no credits/all paid',radio/tv,> 3368,'<100','1<=X<4',4,none,1,car,> 38,none,own,1,skilled,1,yes,yes,female,married/wid/sep,0,1
302,'>=200',(12 - 24],'critical/other existing credit','new car',<= 1554,'no known savings','4<=X<7',4,none,2,'real estate',(28 - 38],bank,own,2,'unskilled resident',2,none,yes,male,single,0,1
303,'<0',<= 12,'critical/other existing credit','new car',<= 1554,'<100','4<=X<7',4,'co applicant',3,'life insurance',> 38,none,own,2,skilled,1,yes,yes,male,single,1,1
304,'no checking',> 24,'critical/other existing credit','new car',> 3368,'500<=X<1000','1<=X<4',2,none,2,'no known property',> 38,bank,'for free',1,skilled,1,none,yes,male,single,0,1
305,'no checking',<= 12,'existing paid',furniture/equipment,<= 1554,'>=1000','1<=X<4',4,none,2,'real estate',(28 - 38],none,own,1,skilled,1,none,yes,male,married/wid/sep,1,1
306,'no checking',> 24,'existing paid','used car',> 3368,'no known savings','4<=X<7',2,none,4,'life insurance',<= 28,stores,rent,1,'unskilled resident',1,none,yes,female,married/wid/sep,1,1
307,'<0',<= 12,'existing paid',radio/tv,<= 1554,'100<=X<500','<1',4,none,3,'no known property',(28 - 38],none,own,1,'unskilled resident',1,yes,yes,male,married/wid/sep,0,1
308,'0<=X<200',<= 12,'existing paid',furniture/equipment,<= 1554,'<100','1<=X<4',3,none,4,'real estate',<= 28,none,own,1,skilled,1,none,yes,female,married/wid/sep,0,1
