race,sex,LSAT,UGPA,ZFYA,rank
White,Male,40.0,3.2,0.74,5506
White,Male,42.0,3.7,0.74,5507
White,Male,34.5,2.5,0.74,5508
White,Male,35.0,3.1,0.74,5509
White,Male,36.0,3.2,0.74,5510
White,Male,38.0,3.8,0.74,5511
White,Male,35.0,3.0,0.74,5512
White,Female,37.0,3.5,0.74,5513
White,Female,41.0,3.7,0.74,5514
White,Male,46.0,3.6,0.74,5515
White,Female,31.0,3.1,0.74,5516
White,Male,38.0,3.0,0.74,5517
White,Male,36.0,3.2,0.74,5518
White,Female,34.0,3.0,0.74,5519
White,Male,34.0,2.9,0.74,5520
White,Male,39.5,3.5,0.74,5521
White,Male,28.0,3.2,0.74,5522
White,Female,39.0,3.3,0.74,5523
White,Male,41.0,3.1,0.74,5524
White,Male,36.0,2.6,0.74,5525
White,Male,37.0,3.0,0.74,5526
White,Female,32.5,3.5,0.74,5527
White,Female,40.0,3.2,0.74,5528
White,Female,38.0,3.3,0.74,5529
White,Male,43.0,3.3,0.74,5530
White,Male,39.0,3.7,0.74,5531
White,Female,44.0,3.9,0.74,5532
White,Male,39.0,3.1,0.74,5533
White,Female,38.0,3.6,0.74,5534
White,Female,32.0,2.7,0.74,5535
White,Male,42.0,3.5,0.74,5536
Hispanic,Female,42.0,3.8,0.74,5537
White,Female,29.0,3.2,0.74,5538
White,Female,38.5,3.6,0.74,5539
White,Female,35.0,3.7,0.74,5540
White,Female,35.0,3.6,0.74,5541
White,Male,41.0,3.2,0.74,5542
White,Male,36.0,3.3,0.74,5543
White,Male,29.0,3.5,0.73,5544
White,Female,35.0,3.0,0.73,5545
White,Male,39.0,3.0,0.73,5546
White,Male,41.0,3.5,0.73,5547
White,Male,40.0,3.6,0.73,5548
White,Female,43.0,3.2,0.73,5549
White,Female,43.0,2.8,0.73,5550
White,Male,41.0,3.6,0.73,5551
White,Female,43.0,3.5,0.73,5552
Black,Female,24.0,2.7,0.73,5553
White,Female,32.0,2.6,0.73,5554
White,Male,40.0,3.4,0.73,5555
White,Male,37.0,3.3,0.73,5556
White,Female,38.0,3.0,0.73,5557
White,Female,33.0,2.7,0.73,5558
White,Male,32.0,2.9,0.73,5559
White,Female,34.0,2.7,0.73,5560
White,Female,41.0,3.4,0.73,5561
White,Female,39.0,3.9,0.73,5562
White,Female,41.0,3.4,0.73,5563
White,Male,41.0,2.9,0.73,5564
White,Male,35.0,2.6,0.73,5565
White,Male,45.0,3.3,0.73,5566
White,Male,31.0,3.2,0.73,5567
White,Male,38.0,2.1,0.73,5568
White,Female,35.0,2.9,0.73,5569
White,Female,41.0,2.7,0.73,5570
White,Male,39.0,3.0,0.73,5571
White,Male,34.0,2.6,0.73,5572
White,Female,45.0,2.7,0.73,5573
Black,Male,47.0,3.4,0.73,5574
White,Female,40.0,2.8,0.73,5575
White,Male,38.0,3.1,0.73,5576
White,Female,38.0,3.2,0.73,5577
White,Female,40.0,3.4,0.73,5578
Amerindian,Female,35.0,3.3,0.73,5579
White,Female,43.0,3.4,0.73,5580
White,Male,42.0,3.9,0.73,5581
White,Female,38.0,3.2,0.73,5582
White,Female,40.0,3.5,0.73,5583
White,Female,38.0,3.8,0.73,5584
White,Female,35.0,2.9,0.73,5585
White,Female,37.0,2.8,0.73,5586
White,Male,46.0,3.4,0.73,5587
White,Female,37.0,3.6,0.73,5588
White,Male,25.5,2.7,0.73,5589
White,Female,42.0,2.8,0.73,5590
White,Female,30.5,3.5,0.73,5591
White,Male,38.0,2.5,0.73,5592
White,Male,37.5,3.3,0.73,5593
White,Male,43.0,3.0,0.73,5594
White,Male,40.0,2.6,0.73,5595
White,Female,30.0,3.4,0.73,5596
White,Male,39.0,3.3,0.72,5597
White,Male,40.0,3.4,0.72,5598
White,Female,42.0,3.4,0.72,5599
White,Male,38.0,3.5,0.72,5600
White,Female,33.0,3.3,0.72,5601
White,Male,46.0,3.6,0.72,5602
White,Male,32.0,3.3,0.72,5603
White,Female,33.0,3.5,0.72,5604
White,Male,38.0,3.1,0.72,5605
White,Female,35.0,3.4,0.72,5606
White,Female,37.0,3.0,0.72,5607
White,Male,34.0,3.5,0.72,5608
White,Male,47.0,3.5,0.72,5609
White,Male,43.0,3.5,0.72,5610
White,Female,42.0,4.0,0.72,5611
White,Male,38.0,3.1,0.72,5612
White,Male,32.5,3.6,0.72,5613
White,Male,37.0,3.8,0.72,5614
White,Male,40.0,3.6,0.72,5615
White,Female,40.0,3.6,0.72,5616
White,Female,32.0,3.6,0.72,5617
White,Male,29.0,2.3,0.72,5618
White,Male,42.0,2.8,0.72,5619
White,Female,38.0,3.7,0.72,5620
White,Female,48.0,3.2,0.72,5621
White,Female,35.0,2.9,0.72,5622
White,Female,40.0,3.3,0.72,5623
White,Female,40.0,3.5,0.72,5624
White,Male,37.0,3.0,0.72,5625
White,Male,41.0,3.3,0.72,5626
White,Female,37.0,2.8,0.72,5627
White,Female,39.0,2.7,0.72,5628
White,Male,42.0,3.3,0.72,5629
White,Male,36.0,3.8,0.72,5630
Black,Male,21.5,2.9,0.72,5631
White,Male,34.0,2.7,0.72,5632
White,Male,36.0,3.9,0.72,5633
White,Male,35.0,3.1,0.72,5634
White,Male,36.0,3.3,0.72,5635
White,Female,41.0,3.6,0.72,5636
White,Male,45.0,2.7,0.72,5637
White,Male,42.0,3.5,0.72,5638
White,Female,33.5,3.6,0.72,5639
White,Male,26.0,3.5,0.72,5640
White,Male,38.0,2.6,0.72,5641
White,Female,37.0,2.8,0.72,5642
Black,Male,23.0,2.9,0.72,5643
White,Male,35.0,3.4,0.72,5644
White,Female,41.0,2.6,0.72,5645
White,Male,36.0,3.3,0.72,5646
White,Female,35.0,3.7,0.72,5647
White,Female,36.0,3.2,0.72,5648
White,Male,39.0,3.0,0.72,5649
White,Male,41.0,3.7,0.72,5650
White,Male,48.0,2.8,0.72,5651
White,Male,36.0,3.6,0.72,5652
White,Female,40.0,3.1,0.72,5653
White,Male,42.0,3.0,0.72,5654
Asian,Male,32.5,3.1,0.71,5655
White,Female,36.0,3.7,0.71,5656
White,Male,36.0,2.8,0.71,5657
White,Female,33.5,3.7,0.71,5658
White,Female,38.0,3.1,0.71,5659
White,Male,44.0,3.2,0.71,5660
White,Male,36.0,3.4,0.71,5661
White,Male,32.3,2.7,0.71,5662
White,Female,35.0,3.0,0.71,5663
White,Male,42.5,3.4,0.71,5664
White,Female,42.0,3.5,0.71,5665
White,Male,34.0,3.1,0.71,5666
White,Female,44.0,3.6,0.71,5667
White,Male,40.0,3.2,0.71,5668
White,Female,37.0,3.4,0.71,5669
White,Male,38.0,3.5,0.71,5670
White,Male,30.0,3.2,0.71,5671
White,Male,37.0,3.2,0.71,5672
White,Female,40.0,2.8,0.71,5673
White,Female,41.0,3.4,0.71,5674
White,Male,40.0,3.0,0.71,5675
White,Male,38.0,3.5,0.71,5676
White,Female,35.0,3.4,0.71,5677
White,Female,43.0,3.6,0.71,5678
White,Female,48.0,3.4,0.71,5679
Mexican,Female,36.0,2.7,0.71,5680
White,Female,34.0,2.6,0.71,5681
White,Female,45.0,3.5,0.71,5682
White,Male,48.0,3.5,0.71,5683
White,Male,47.0,2.9,0.71,5684
Mexican,Male,32.0,2.7,0.71,5685
White,Male,36.0,3.0,0.71,5686
White,Male,38.0,3.2,0.71,5687
White,Male,36.0,3.3,0.71,5688
White,Female,44.0,3.0,0.71,5689
Black,Male,41.0,2.1,0.71,5690
White,Male,35.0,3.8,0.71,5691
White,Male,43.0,2.4,0.71,5692
White,Female,32.0,2.9,0.71,5693
White,Female,38.0,3.6,0.71,5694
White,Male,36.0,2.9,0.71,5695
White,Male,37.0,3.6,0.71,5696
White,Female,45.0,3.6,0.71,5697
White,Female,40.0,3.3,0.71,5698
Other,Male,40.0,3.1,0.71,5699
White,Male,42.0,3.7,0.71,5700
White,Female,36.0,3.2,0.71,5701
Black,Female,32.0,3.5,0.71,5702
White,Female,39.0,3.8,0.71,5703
White,Male,42.0,2.7,0.71,5704
White,Female,37.0,2.9,0.71,5705
White,Female,37.5,3.7,0.71,5706
White,Male,45.0,3.9,0.71,5707
White,Female,40.0,3.2,0.71,5708
White,Female,43.0,3.4,0.71,5709
White,Female,41.0,3.9,0.71,5710
White,Male,32.0,3.5,0.71,5711
White,Male,39.0,2.9,0.71,5712
White,Male,43.0,3.5,0.71,5713
White,Male,33.0,3.7,0.71,5714
White,Female,34.0,3.4,0.71,5715
White,Male,39.0,3.2,0.71,5716
Black,Male,26.0,2.5,0.71,5717
White,Female,30.0,4.0,0.71,5718
White,Female,42.0,3.3,0.71,5719
White,Male,37.0,2.8,0.71,5720
White,Male,32.0,2.8,0.71,5721
White,Female,36.0,3.5,0.71,5722
White,Female,32.0,3.9,0.71,5723
White,Male,40.0,3.4,0.71,5724
White,Male,35.0,2.9,0.71,5725
White,Male,30.0,3.6,0.71,5726
Black,Female,32.0,2.7,0.71,5727
White,Female,44.0,3.3,0.71,5728
Other,Female,32.5,3.1,0.71,5729
White,Female,47.0,3.0,0.71,5730
White,Female,36.0,3.4,0.71,5731
White,Female,35.0,3.7,0.71,5732
White,Female,36.0,3.4,0.71,5733
White,Male,44.0,3.1,0.71,5734
White,Male,37.0,2.8,0.71,5735
White,Female,30.5,3.2,0.71,5736
White,Male,35.0,2.8,0.71,5737
White,Female,37.0,3.9,0.71,5738
White,Female,37.0,3.8,0.71,5739
White,Male,36.0,3.4,0.71,5740
White,Female,43.0,3.5,0.71,5741
Black,Male,30.0,3.4,0.71,5742
White,Male,43.0,2.8,0.71,5743
White,Female,42.0,3.0,0.71,5744
White,Female,31.5,3.6,0.71,5745
White,Male,47.0,3.5,0.7,5746
White,Male,42.0,3.6,0.7,5747
White,Male,48.0,3.4,0.7,5748
White,Male,33.5,2.8,0.7,5749
White,Male,35.0,3.5,0.7,5750
White,Female,41.0,3.8,0.7,5751
White,Male,36.0,3.8,0.7,5752
White,Male,40.0,2.8,0.7,5753
White,Male,46.0,3.4,0.7,5754
White,Male,39.0,2.9,0.7,5755
White,Male,42.0,3.6,0.7,5756
White,Female,43.0,3.7,0.7,5757
White,Male,33.0,2.9,0.7,5758
White,Male,40.0,3.2,0.7,5759
White,Male,46.0,3.2,0.7,5760
White,Male,37.0,3.1,0.7,5761
Hispanic,Male,36.0,3.4,0.7,5762
White,Male,46.0,3.7,0.7,5763
White,Male,36.0,3.0,0.7,5764
White,Male,38.0,3.4,0.7,5765
White,Male,39.0,3.0,0.7,5766
White,Female,34.5,3.5,0.7,5767
White,Male,34.0,2.9,0.7,5768
White,Male,37.0,3.2,0.7,5769
White,Male,43.0,3.8,0.7,5770
White,Female,36.0,3.7,0.7,5771
White,Female,31.0,2.9,0.7,5772
White,Female,42.0,3.6,0.7,5773
White,Male,41.0,3.5,0.7,5774
White,Female,39.0,3.8,0.7,5775
White,Female,28.5,3.1,0.7,5776
White,Female,37.0,3.9,0.7,5777
White,Female,37.0,3.5,0.7,5778
White,Male,34.0,2.4,0.7,5779
White,Male,40.0,3.6,0.7,5780
White,Male,30.0,2.6,0.7,5781
White,Male,42.0,3.8,0.7,5782
White,Female,33.0,3.2,0.7,5783
Hispanic,Male,39.0,2.8,0.7,5784
White,Female,36.0,3.0,0.7,5785
White,Male,36.0,3.3,0.7,5786
Hispanic,Male,29.0,3.2,0.7,5787
White,Female,37.0,2.0,0.7,5788
White,Female,26.0,3.6,0.7,5789
White,Male,43.5,3.8,0.7,5790
White,Male,38.0,3.0,0.7,5791
White,Male,38.0,2.8,0.7,5792
White,Male,33.0,3.0,0.7,5793
White,Male,35.0,2.7,0.7,5794
Asian,Male,39.0,2.6,0.7,5795
White,Male,36.0,3.5,0.7,5796
White,Male,41.0,3.8,0.7,5797
White,Male,45.0,3.3,0.7,5798
White,Female,43.0,3.1,0.7,5799
White,Female,35.0,3.2,0.7,5800
White,Male,40.0,3.1,0.7,5801
White,Female,33.0,3.4,0.7,5802
White,Male,47.0,3.9,0.7,5803
White,Female,33.0,3.8,0.7,5804
White,Male,38.0,3.0,0.7,5805
White,Male,40.0,3.1,0.7,5806
White,Male,48.0,3.3,0.7,5807
White,Female,36.0,3.8,0.7,5808
White,Male,42.0,2.6,0.7,5809
Mexican,Male,29.0,3.5,0.7,5810
White,Female,36.5,3.0,0.7,5811
White,Male,42.0,3.4,0.7,5812
Hispanic,Male,31.0,3.8,0.69,5813
White,Male,40.0,3.4,0.69,5814
White,Male,35.0,3.5,0.69,5815
White,Female,37.0,3.4,0.69,5816
White,Male,37.0,3.5,0.69,5817
White,Female,35.0,3.0,0.69,5818
White,Male,39.0,3.5,0.69,5819
White,Male,38.0,3.6,0.69,5820
White,Female,36.0,3.6,0.69,5821
White,Female,37.0,3.6,0.69,5822
White,Male,32.0,2.7,0.69,5823
White,Female,43.0,3.6,0.69,5824
White,Male,39.0,2.6,0.69,5825
White,Male,23.5,3.6,0.69,5826
White,Female,39.0,3.3,0.69,5827
White,Female,40.0,3.0,0.69,5828
White,Male,32.0,3.6,0.69,5829
White,Male,40.0,3.3,0.69,5830
White,Male,44.0,3.5,0.69,5831
White,Male,32.0,2.5,0.69,5832
Black,Female,29.0,2.9,0.69,5833
White,Female,42.0,3.5,0.69,5834
White,Female,40.0,3.2,0.69,5835
White,Male,47.0,3.1,0.69,5836
White,Male,38.0,3.1,0.69,5837
White,Male,34.0,3.1,0.69,5838
White,Female,36.0,3.0,0.69,5839
White,Male,37.5,3.4,0.69,5840
White,Female,37.0,3.8,0.69,5841
White,Male,33.0,2.9,0.69,5842
White,Female,33.0,3.5,0.69,5843
White,Female,42.0,3.5,0.69,5844
White,Male,36.0,3.6,0.69,5845
White,Female,38.0,3.2,0.69,5846
White,Male,37.0,3.3,0.69,5847
Black,Male,35.0,3.5,0.69,5848
White,Male,42.0,3.4,0.69,5849
Asian,Male,33.0,3.0,0.69,5850
White,Male,44.0,3.2,0.69,5851
White,Male,37.0,3.3,0.69,5852
White,Male,46.0,3.6,0.69,5853
White,Female,34.0,3.4,0.69,5854
White,Male,33.5,3.4,0.69,5855
White,Female,37.0,3.6,0.69,5856
White,Male,29.5,2.5,0.69,5857
White,Male,33.0,3.5,0.69,5858
White,Male,37.0,3.7,0.69,5859
White,Male,47.0,3.2,0.69,5860
White,Male,30.0,2.6,0.69,5861
White,Male,30.5,3.0,0.69,5862
White,Female,48.0,2.9,0.69,5863
White,Male,38.5,3.5,0.69,5864
White,Male,48.0,3.4,0.69,5865
White,Male,42.0,3.4,0.69,5866
White,Female,39.0,3.4,0.69,5867
White,Female,32.0,3.6,0.69,5868
White,Male,35.0,3.0,0.69,5869
White,Female,36.0,3.5,0.69,5870
White,Male,33.5,3.7,0.69,5871
White,Male,33.0,3.3,0.69,5872
White,Male,45.0,3.4,0.69,5873
White,Female,38.0,3.7,0.69,5874
White,Male,34.0,3.1,0.69,5875
White,Female,40.0,3.5,0.69,5876
White,Female,48.0,3.4,0.69,5877
White,Male,35.0,3.0,0.69,5878
White,Female,40.0,3.7,0.68,5879
White,Female,37.0,3.6,0.68,5880
White,Male,40.0,3.6,0.68,5881
White,Female,32.0,2.9,0.68,5882
White,Male,40.0,2.6,0.68,5883
White,Female,35.0,3.6,0.68,5884
White,Female,37.0,3.7,0.68,5885
White,Female,38.0,3.4,0.68,5886
White,Male,33.0,3.1,0.68,5887
White,Male,42.0,3.1,0.68,5888
White,Male,39.0,3.3,0.68,5889
White,Male,36.0,2.8,0.68,5890
White,Female,38.0,3.6,0.68,5891
White,Male,39.0,3.0,0.68,5892
White,Male,40.0,3.8,0.68,5893
White,Male,45.0,2.8,0.68,5894
White,Female,42.0,3.1,0.68,5895
White,Male,33.0,2.8,0.68,5896
White,Male,43.0,3.1,0.68,5897
White,Male,31.0,2.8,0.68,5898
White,Female,32.0,3.0,0.68,5899
White,Male,36.0,3.2,0.68,5900
White,Male,44.0,3.0,0.68,5901
White,Female,37.0,2.8,0.68,5902
White,Female,30.5,3.3,0.68,5903
White,Male,33.0,2.2,0.68,5904
White,Female,39.0,3.2,0.68,5905
White,Female,38.0,3.7,0.68,5906
White,Male,29.0,3.2,0.68,5907
White,Male,42.0,2.7,0.68,5908
White,Male,36.0,3.1,0.68,5909
White,Male,36.0,3.6,0.68,5910
White,Male,39.0,3.0,0.68,5911
White,Male,35.0,3.1,0.68,5912
White,Female,34.0,3.8,0.68,5913
White,Male,42.0,3.1,0.68,5914
White,Male,38.0,3.9,0.68,5915
White,Male,38.0,2.8,0.68,5916
White,Male,45.0,3.3,0.68,5917
White,Male,34.0,3.5,0.68,5918
White,Male,38.0,2.9,0.68,5919
White,Male,43.0,3.3,0.68,5920
White,Female,39.0,2.6,0.68,5921
White,Female,42.0,3.1,0.68,5922
White,Female,33.0,3.3,0.68,5923
White,Female,37.0,3.2,0.68,5924
White,Male,37.0,3.7,0.68,5925
White,Male,41.0,3.9,0.68,5926
White,Male,41.0,3.3,0.68,5927
White,Male,42.0,2.7,0.68,5928
White,Male,38.0,2.7,0.68,5929
White,Female,30.0,3.4,0.68,5930
Hispanic,Female,40.0,2.9,0.68,5931
White,Female,33.0,3.2,0.68,5932
White,Female,35.0,3.6,0.68,5933
White,Female,45.0,3.9,0.68,5934
White,Female,37.0,3.7,0.68,5935
White,Male,30.0,3.0,0.68,5936
White,Male,42.0,2.9,0.68,5937
White,Male,34.0,3.3,0.68,5938
White,Female,32.0,3.5,0.68,5939
White,Male,46.0,2.4,0.68,5940
White,Male,34.0,3.0,0.68,5941
White,Female,35.0,3.0,0.68,5942
White,Female,31.5,4.0,0.68,5943
White,Male,37.0,3.5,0.68,5944
White,Female,32.0,3.0,0.68,5945
White,Female,40.0,3.6,0.68,5946
Mexican,Male,29.0,2.9,0.68,5947
White,Female,41.0,3.8,0.68,5948
White,Male,38.0,2.8,0.67,5949
White,Female,35.0,3.2,0.67,5950
White,Male,46.0,3.5,0.67,5951
White,Male,37.0,3.4,0.67,5952
White,Female,37.0,3.5,0.67,5953
White,Female,42.0,3.4,0.67,5954
White,Male,39.0,3.1,0.67,5955
White,Female,42.0,3.5,0.67,5956
White,Female,36.5,3.0,0.67,5957
White,Male,41.0,3.6,0.67,5958
Puertorican,Female,44.0,3.5,0.67,5959
White,Female,30.0,3.5,0.67,5960
White,Female,39.0,3.0,0.67,5961
White,Male,34.0,3.0,0.67,5962
White,Male,35.0,3.5,0.67,5963
White,Male,33.0,2.3,0.67,5964
White,Male,32.0,3.4,0.67,5965
White,Male,35.0,3.5,0.67,5966
White,Male,40.0,3.7,0.67,5967
White,Female,41.0,3.1,0.67,5968
White,Male,42.0,3.6,0.67,5969
White,Male,32.5,2.4,0.67,5970
White,Female,35.3,3.1,0.67,5971
White,Female,38.0,3.0,0.67,5972
White,Female,35.0,3.6,0.67,5973
White,Male,42.0,3.7,0.67,5974
White,Male,37.0,3.2,0.67,5975
White,Female,41.0,3.4,0.67,5976
White,Male,37.0,3.7,0.67,5977
Asian,Male,40.0,3.7,0.67,5978
White,Male,38.0,3.7,0.67,5979
White,Female,31.0,2.9,0.67,5980
White,Female,28.0,2.8,0.67,5981
Black,Female,38.0,3.8,0.67,5982
White,Male,39.0,2.8,0.67,5983
White,Female,46.0,3.3,0.67,5984
White,Female,33.0,3.1,0.67,5985
White,Male,44.0,3.3,0.67,5986
White,Female,48.0,3.6,0.67,5987
White,Male,43.0,3.9,0.67,5988
White,Male,43.0,3.5,0.67,5989
White,Male,33.0,3.7,0.67,5990
White,Female,43.0,3.8,0.67,5991
White,Female,30.0,3.4,0.67,5992
White,Female,43.0,3.3,0.67,5993
White,Male,40.0,3.4,0.67,5994
White,Male,39.0,2.9,0.67,5995
White,Male,40.0,3.6,0.67,5996
White,Male,44.0,3.7,0.67,5997
White,Male,34.5,3.7,0.67,5998
Black,Female,22.0,2.9,0.67,5999
White,Female,34.0,3.3,0.67,6000
White,Male,40.0,2.8,0.67,6001
Mexican,Female,44.0,3.8,0.67,6002
White,Male,33.0,2.8,0.67,6003
White,Female,32.0,3.7,0.67,6004
White,Male,47.0,3.6,0.67,6005
White,Male,43.0,3.5,0.67,6006
White,Female,36.0,3.3,0.67,6007
White,Female,43.0,3.1,0.67,6008
White,Male,38.0,3.1,0.67,6009
White,Female,34.0,3.6,0.67,6010
White,Female,39.0,3.9,0.67,6011
White,Female,41.0,3.8,0.67,6012
White,Male,33.0,2.8,0.67,6013
White,Male,40.0,3.2,0.67,6014
Asian,Female,48.0,3.8,0.67,6015
White,Male,42.0,3.7,0.66,6016
White,Female,43.0,3.6,0.66,6017
White,Male,43.0,3.5,0.66,6018
Other,Male,36.0,2.9,0.66,6019
White,Male,38.0,3.3,0.66,6020
White,Male,44.0,3.3,0.66,6021
White,Female,28.0,3.5,0.66,6022
Asian,Male,35.0,2.6,0.66,6023
White,Female,41.0,2.8,0.66,6024
White,Female,33.0,3.5,0.66,6025
White,Male,42.0,3.8,0.66,6026
White,Male,28.5,3.2,0.66,6027
White,Female,37.0,3.1,0.66,6028
White,Male,45.0,2.6,0.66,6029
White,Female,38.0,3.4,0.66,6030
Asian,Male,34.0,3.4,0.66,6031
White,Male,39.0,3.1,0.66,6032
White,Female,45.0,3.4,0.66,6033
White,Male,35.0,3.4,0.66,6034
White,Male,37.0,3.0,0.66,6035
Asian,Male,42.0,3.8,0.66,6036
White,Male,39.5,3.3,0.66,6037
White,Female,45.0,3.9,0.66,6038
White,Female,36.0,3.6,0.66,6039
Asian,Female,35.5,3.0,0.66,6040
White,Female,40.0,4.0,0.66,6041
White,Female,38.0,3.3,0.66,6042
White,Male,38.0,3.1,0.66,6043
White,Male,34.0,2.9,0.66,6044
White,Female,33.0,3.1,0.66,6045
White,Male,43.0,3.9,0.66,6046
White,Female,35.0,3.5,0.66,6047
White,Female,36.0,3.4,0.66,6048
White,Female,41.0,3.4,0.66,6049
White,Male,37.0,3.3,0.66,6050
White,Male,29.5,3.1,0.66,6051
White,Male,34.0,3.5,0.66,6052
White,Male,41.0,3.2,0.66,6053
White,Male,37.0,3.6,0.66,6054
White,Male,36.0,3.2,0.66,6055
White,Male,36.0,3.6,0.66,6056
White,Male,36.5,3.6,0.66,6057
White,Female,37.0,2.9,0.66,6058
White,Male,38.0,2.8,0.66,6059
White,Female,43.0,2.8,0.66,6060
White,Male,35.0,3.6,0.66,6061
White,Male,44.0,2.6,0.66,6062
White,Female,31.5,3.8,0.66,6063
White,Male,36.0,3.2,0.66,6064
Mexican,Male,28.0,3.0,0.66,6065
White,Male,30.0,3.3,0.66,6066
Hispanic,Female,44.0,3.4,0.66,6067
White,Male,28.0,2.6,0.66,6068
White,Male,37.0,2.9,0.66,6069
White,Male,47.0,4.0,0.66,6070
White,Male,46.0,3.6,0.66,6071
White,Male,38.0,3.9,0.66,6072
Other,Male,39.0,2.6,0.66,6073
White,Male,45.0,3.8,0.66,6074
White,Female,34.0,3.4,0.66,6075
White,Male,33.0,3.5,0.66,6076
White,Female,40.0,3.7,0.66,6077
White,Female,45.0,3.1,0.66,6078
White,Female,37.0,3.8,0.66,6079
White,Male,41.0,2.6,0.66,6080
White,Male,34.0,3.2,0.66,6081
White,Male,38.0,3.0,0.66,6082
White,Male,41.0,3.6,0.66,6083
White,Male,38.0,3.2,0.66,6084
White,Female,39.0,2.9,0.66,6085
White,Male,45.0,3.4,0.66,6086
White,Male,35.0,3.3,0.66,6087
White,Female,45.0,3.6,0.66,6088
White,Female,42.0,3.2,0.66,6089
White,Male,42.0,3.5,0.66,6090
White,Male,35.0,3.3,0.66,6091
White,Female,31.0,3.5,0.66,6092
White,Female,38.0,3.2,0.65,6093
White,Male,43.0,2.7,0.65,6094
White,Female,37.0,3.2,0.65,6095
White,Female,33.0,3.9,0.65,6096
White,Female,34.0,3.1,0.65,6097
White,Male,37.5,3.6,0.65,6098
White,Female,39.0,3.2,0.65,6099
White,Female,34.0,3.1,0.65,6100
White,Male,38.0,3.4,0.65,6101
White,Female,37.0,3.2,0.65,6102
White,Male,30.0,3.0,0.65,6103
White,Female,42.0,3.5,0.65,6104
White,Male,33.0,3.3,0.65,6105
Mexican,Male,43.0,2.5,0.65,6106
White,Male,38.0,3.6,0.65,6107
White,Female,40.0,3.5,0.65,6108
White,Male,37.0,3.1,0.65,6109
White,Female,46.0,2.9,0.65,6110
White,Male,40.0,3.3,0.65,6111
White,Female,42.0,3.5,0.65,6112
White,Male,44.0,2.8,0.65,6113
White,Male,32.0,3.4,0.65,6114
White,Male,40.0,3.3,0.65,6115
White,Female,40.0,3.6,0.65,6116
White,Male,39.0,3.3,0.65,6117
White,Male,33.0,3.5,0.65,6118
White,Female,38.0,3.1,0.65,6119
White,Male,39.5,2.2,0.65,6120
White,Male,38.0,3.9,0.65,6121
White,Male,35.5,3.5,0.65,6122
White,Male,45.0,3.8,0.65,6123
White,Male,39.0,3.3,0.65,6124
White,Male,35.0,3.1,0.65,6125
White,Male,33.0,3.0,0.65,6126
White,Male,32.0,2.6,0.65,6127
White,Male,33.0,3.1,0.65,6128
White,Male,36.0,3.8,0.65,6129
White,Male,39.0,3.2,0.65,6130
White,Female,31.0,3.2,0.65,6131
White,Male,43.0,3.0,0.65,6132
White,Female,36.5,3.9,0.65,6133
White,Male,33.5,3.2,0.65,6134
White,Male,40.0,3.3,0.65,6135
White,Female,47.0,4.0,0.65,6136
White,Female,39.0,3.8,0.65,6137
White,Female,43.0,3.3,0.65,6138
White,Female,37.0,3.3,0.65,6139
White,Female,44.0,3.7,0.65,6140
White,Male,25.5,3.7,0.65,6141
White,Male,38.0,2.9,0.65,6142
White,Male,35.0,3.8,0.65,6143
White,Male,34.0,3.0,0.65,6144
White,Male,43.0,2.8,0.65,6145
White,Male,33.0,2.9,0.65,6146
White,Female,37.0,3.2,0.65,6147
White,Female,40.0,3.1,0.65,6148
White,Female,36.0,3.2,0.65,6149
White,Male,47.0,2.8,0.65,6150
White,Female,42.0,3.2,0.65,6151
White,Male,42.0,3.1,0.65,6152
White,Male,32.0,1.8,0.65,6153
White,Male,37.0,3.1,0.65,6154
White,Female,42.0,3.9,0.65,6155
White,Female,40.0,3.3,0.65,6156
White,Male,37.0,3.1,0.65,6157
White,Female,35.5,2.9,0.65,6158
White,Male,40.0,3.8,0.65,6159
White,Male,34.0,2.4,0.65,6160
White,Male,43.0,2.7,0.65,6161
White,Male,31.0,3.1,0.65,6162
White,Female,30.5,3.6,0.65,6163
Hispanic,Male,26.0,2.9,0.65,6164
Other,Male,46.0,3.6,0.65,6165
White,Male,26.5,2.6,0.65,6166
White,Male,38.0,4.0,0.65,6167
White,Female,40.0,2.9,0.65,6168
White,Female,35.0,3.5,0.65,6169
White,Male,37.0,2.6,0.65,6170
White,Male,34.5,3.3,0.64,6171
White,Male,45.0,3.0,0.64,6172
Asian,Male,36.0,3.7,0.64,6173
White,Male,28.0,3.5,0.64,6174
Other,Male,38.0,3.5,0.64,6175
White,Male,43.0,3.0,0.64,6176
White,Female,38.0,3.1,0.64,6177
White,Female,38.5,3.8,0.64,6178
White,Male,32.5,3.0,0.64,6179
Mexican,Male,44.0,3.1,0.64,6180
White,Female,38.0,3.0,0.64,6181
White,Female,37.0,3.4,0.64,6182
White,Female,30.5,3.7,0.64,6183
White,Female,39.0,3.1,0.64,6184
White,Female,36.0,4.0,0.64,6185
White,Male,35.0,2.8,0.64,6186
White,Male,46.0,3.2,0.64,6187
White,Male,44.0,3.4,0.64,6188
White,Male,41.0,3.5,0.64,6189
White,Male,39.0,3.5,0.64,6190
Black,Female,37.0,3.2,0.64,6191
White,Female,32.0,3.6,0.64,6192
White,Male,42.0,3.2,0.64,6193
White,Female,43.0,3.5,0.64,6194
Asian,Female,36.5,2.9,0.64,6195
White,Female,36.0,3.7,0.64,6196
White,Male,34.0,2.7,0.64,6197
White,Female,40.0,2.8,0.64,6198
